"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"23","Hungría",750.46,686.25,486.02,450.83,466.51,412.57,488.75,943.5,951.29,676.22,819.89499347937
"24","India",3511.55,9691.37841874115,10122.3801982124,11197.5527661052,11159.2137938669,11838.7735020315,13111.1,13983.38,13613.03,13274.7,11792.2697123834
"25","Irlanda",786.962136799104,664.256545401952,288.76,659.692229573782,719.886258773308,737.000535011145,627.32,755.27,613.96,586.75,582.75
"26","Israel",442.76,1441.14,1002.79314411743,938.423527993158,1315.7732799284,981.846470945719,1318.86846132636,1141.26867683072,1096.00135324787,969.24,1374.2762700871
"27","Italia",7208.04,8935.85,8861.8,8745.68,10000,8578.7,9812.33,9793.56,8641.67,8145.7,8297.64
"28","Japón",24618.02,19257.46,20422.01,23198.6,18930.4,17542.44,20611.32,23549.16,25322.46,16935.91,14429.91
"29","Malasia",1180.26,1229.47,1159.74,1290.79,2103.07,1479.12865815568,1242.16,1343.82,1497.87,1733.8,1600.83654842803
"30","México",5750.86,3129.92,2584.24,3614.89,3474.53,3747.96,3272.96,3648.12,2890.6,5674.83,4984.1
"31","Nicaragua",6.43,40.61,36.56,65.4731020558797,61.6077001524848,51.2405280504673,70.0299073203306,65.1513638744699,38.4065366716037,84.3670455446896,125.546156813612
"32","Noruega",2018.5563850888,2588.85,1836.51846032139,2258.97539968655,2055.49650829659,1838.18040392708,2072.61730737323,2606.84561212925,2035.98141432894,2014.825653908,1784.14512091807
"33","Panamá",624.287101766498,533.478607283584,295.679198132969,3100.16128902168,700.789588858149,537.64241200337,470.356064909693,795.238475014636,468.124052839007,881.992066735427,1007.06104304798
"34","Perú",174.52,649.777988158553,683.852895744815,670.276017261988,387.29,437.93,718.289755054402,880.06,909.66,847.09,1068.88
"35","Polonia",2041.86742358692,2073.09751996971,3193.96488669248,2319.0499915905,1844.2,2444.77,2464.28700878227,3059.99,2565.19,2391.4,2344.7
"36","Portugal",1228.61,946.52,645.48,837.74,915.88,1214.26,1801.2,1463.9,1464.49,1428.14,1228.7
"37","Reino Unido",15827.34,13432.84,9877.14800531285,10255.8935023894,9775.71650812174,10502.5279115354,11190.5352027716,10697.18,7995.33,5687.79,9408.81916264426
"38","Rep. Checa",1224.32,810.69,1507.44,474.93,573.36,627.15,795.96,871.53,763.05,783.85,815.89
"39","Rep. Dominicana",288.14,421.21,269.89,238.79,255.52,340.5,162.59,283.07,196.36,195.46,300.06
"40","Rusia",732.4,1012.38,6333.87549020999,6791.86446458618,6662.47372146022,6619.65021705863,12134.1,9421.69,4659.52,6324.63,8835.93
"41","Sudáfrica",1393.73,712.05,871.16,1603.89287233357,1674.63168436905,1724.07002188262,1971.37,1963.08,1728.35,1818.06,2557.27294624829
"42","Suecia",1481.7,1647.18935019114,1451.92,1577.14,1181.85,1381.84,1582.83,1470.03,1189.05,974.2,1750.28648477091
"43","Suiza",1642.68,1653.21,1580,1661.29,1630.29,5173.02,2301.25,2103.81,2106.8,2067.29,2659.08
"44","Tailandia",1295.3,1513.04,400.88,508.23,656.91,769.13,963.87,928.631143039869,678.79,735.45,1252.04477932114
"45","Turquía",361.31,198.21,229.84,1015.24,1385.51,1750.9,1901.89,2888.83,4117.83,2502.2,3343.68
"46","Venezuela",1067.98,749.11,232.81,503.98,1395.77,1170.99,1684.12,1418.02,1579.87,1466.85,1062.36
